"Title","URL"
"Landscape for HIV rapid diagnostic tests for HIV self-testing","https://marketbookshelf.com/publications/landscape-hiv-rapid-diagnostic-tests-hiv-self-testing/"
"Contraceptive Security Ready Lessons II: Fostering Public-Private Collaboration for Improved Access","https://marketbookshelf.com/publications/contraceptive-security-ready-lessons-ii-fostering-public-private-collaboration-improved-access/"
"Revisiting a Total Market Approach to Contraceptive Security in Honduras","https://marketbookshelf.com/publications/revisiting-total-market-approach-contraceptive-security-honduras/"
"Implementing Total Market Approaches: Family Planning and Beyond","https://marketbookshelf.com/publications/implementing-total-market-approaches-family-planning-beyond/"
"HIV Preventives Technology and Market Landscape &#8211; 2nd Edition","https://marketbookshelf.com/publications/hiv-preventives-technology-market-landscape-2nd-edition/"
"HIV Medicines Technology and Market Landscape &#8211; 1st Edition","https://marketbookshelf.com/publications/hiv-medicines-technology-market-landscape-1st-edition/"
"The ACTWATCH project: methods to describe anti-malarial markets in seven countries","https://marketbookshelf.com/publications/actwatch-project-methods-describe-anti-malarial-markets-seven-countries/"
"Trends in Antimalarial Drug Use in Africa","https://marketbookshelf.com/publications/trends-antimalarial-drug-use-africa/"
"Antimalarial Market Intelligence in Laos PDR: ACTwatch Findings 2015","https://marketbookshelf.com/publications/antimalarial-market-intelligence-laos-pdr-actwatch-findings-2015/"
"Hepatitis C Medicines Technology and Market Landscape &#8211; Update","https://marketbookshelf.com/publications/hepatitis-c-medicines-technology-market-landscape-update/"
"Tuberculosis Diagnostics Market in Select High-Burden Countries Current Market and Future Opportunities for Novel Diagnostics","https://marketbookshelf.com/publications/tuberculosis-diagnostics-market-select-high-burden-countries-current-market-future-opportunities-novel-diagnostics/"
"Tuberculosis Diagnostics Technology and Market Landscape &#8211; 4th Edition","https://marketbookshelf.com/publications/tuberculosis-diagnostics-technology-market-landscape-4th-edition/"
"Tuberculosis Medicines Technology and Market Landscape 2014","https://marketbookshelf.com/publications/tuberculosis-medicines-technology-market-landscape-2014/"
"Malaria Diagnostics Technology and Market Landscape: 3rd Edition","https://marketbookshelf.com/publications/malaria-diagnostics-technology-market-landscape-3rd-edition/"
"Malaria Medicines Landscape 2015","https://marketbookshelf.com/publications/malaria-medicines-landscape-2015/"
"Malaria Diagnostics Landscape Update","https://marketbookshelf.com/publications/malaria-diagnostics-landscape-update/"
"Malaria Vector Control Commodities Landscape &#8211; 2nd edition","https://marketbookshelf.com/publications/malaria-vector-control-commodities-landscape-2nd-edition/"
"Malaria Diagnostics Technology and Market Landscape &#8211; 2nd Edition","https://marketbookshelf.com/publications/malaria-diagnostics-technology-market-landscape-2nd-edition/"
"Malaria Medicines Landscape 2013","https://marketbookshelf.com/publications/malaria-medicines-landscape-2013/"
"HIV, Tuberculosis and Malaria Medicines Landscape: Progress Report on Emerging Issues and Potential Opportunities to Improve Access","https://marketbookshelf.com/publications/hiv-tuberculosis-malaria-medicines-landscape-progress-report-emerging-issues-potential-opportunities-improve-access/"
"Myanmar: 2016 FPwatch Outlet Survey","https://marketbookshelf.com/publications/myanmar-2016-fpwatch-outlet-survey/"
"Myanmar 2016 FPwatch Survey: Findings from a contraceptive commodity and service assessment among private sector outlets","https://marketbookshelf.com/publications/myanmar-2016-fpwatch-survey-findings-contraceptive-commodity-service-assessment-among-private-sector-outlets/"
"Myanmar FPwatch 2016 Overview","https://marketbookshelf.com/publications/myanmar-fpwatch-2016-overview/"
"DRC: 2015 FPwatch Outlet Survey","https://marketbookshelf.com/publications/drc-2015-fpwatch-outlet-survey/"
"Ethiopia: 2015 FPwatch Outlet Survey","https://marketbookshelf.com/publications/ethiopia-2015-fpwatch-outlet-survey/"
"DRC: Kinshasa FPwatch Overview","https://marketbookshelf.com/publications/drc-kinshasa-fpwatch-overview/"
"Myanmar Outlet Survey Findings, 2015","https://marketbookshelf.com/publications/myanmar-outlet-survey-findings-2015/"
"Antimalarial Market Intelligence in Myanmar: ACTwatch Findings 2015","https://marketbookshelf.com/publications/antimalarial-market-intelligence-myanmar-actwatch-findings-2015/"
"Oral AMT Market Characteristics in Myanmar: ACTwatch Findings 2015","https://marketbookshelf.com/publications/oral-amt-market-characteristics-myanmar-actwatch-findings-2015/"
"Non-Quality-Assured ACT Availability and Distribution in 8 African Countries: 2009-2015","https://marketbookshelf.com/publications/non-quality-assured-act-availability-distribution-8-african-countries-2009-2015/"
"Malaria Medicine & Diagnostic Markets in the Greater Mekong Sub-Region","https://marketbookshelf.com/publications/malaria-medicine-diagnostic-markets-greater-mekong-sub-region/"
"Global Malaria Diagnostic and Artemisinin Treatment Commodities Demand Forecast: 2015-2018 Policy Brief","https://marketbookshelf.com/publications/global-malaria-diagnostic-artemisinin-treatment-commodities-demand-forecast-2015-2018-policy-brief/"
"What determines the sale of oral artemisinin monotherapy among private sector providers in Myanmar?","https://marketbookshelf.com/publications/determines-sale-oral-artemisinin-monotherapy-among-private-sector-providers-myanmar/"
"Malaria markets in the Greater Mekong Sub-Region: 2015-2016","https://marketbookshelf.com/publications/malaria-markets-greater-mekong-sub-region-2015-2016/"
"Malaria market trends in Sub-Saharan Africa: 2009-2015","https://marketbookshelf.com/publications/malaria-market-trends-sub-saharan-africa-2009-2015/"
"Nigeria FPwatch Overview","https://marketbookshelf.com/publications/nigeria-fpwatch-overview/"
"Nigeria 2015 FPwatch Survey: Findings from a contraceptive commodity and service assessment among public and private sector outlets","https://marketbookshelf.com/publications/nigeria-2015-fpwatch-survey-findings-contraceptive-commodity-service-assessment-among-public-private-sector-outlets/"
"ACTwatch Outlet Survey Findings by Private Sector Outlets in the PPM and non-PPM Areas, Laos 2015","https://marketbookshelf.com/publications/actwatch-outlet-survey-findings-private-sector-outlets-ppm-non-ppm-areas-laos-2015/"
"ACTwatch Outlet Survey Results Lao PDR, 2015","https://marketbookshelf.com/publications/actwatch-outlet-survey-results-lao-pdr-2015/"
"Lao PDR 2015 Outlet Survey Findings &#8211; Presentation","https://marketbookshelf.com/publications/lao-pdr-2015-outlet-survey-findings-presentation/"
"From ACTwatch to Action: Working with the private sector in Lao PDR","https://marketbookshelf.com/publications/actwatch-action-working-private-sector-lao-pdr/"
"Uganda 2015 Private-Sector Fever Case Management Study &#8211; Presentation","https://marketbookshelf.com/publications/uganda-2015-private-sector-fever-case-management-study-presentation/"
"Uganda outlet survey findings: 2010, 2011, 2013, 2015","https://marketbookshelf.com/publications/uganda-outlet-survey-findings-2010-2011-2013-2015/"
"Designing a Global Financing and Procurement Mechanism for Reproductive Health Supplies","https://marketbookshelf.com/publications/designing-global-financing-procurement-mechanism-reproductive-health-supplies/"
"Differential Pricing for Pharmaceuticals: Review of current knowledge, new findings and ideas for action","https://marketbookshelf.com/publications/differential-pricing-pharmaceuticals-review-current-knowledge-new-findings-ideas-action/"
"Ready, Set, Slow down: New and promising DR-TB drugs are grabbing headlines but not reaching patients:  MSF on the policies underpinning the deadly DR-TB treatment gap","https://marketbookshelf.com/publications/ready-set-slow-new-promising-dr-tb-drugs-grabbing-headlines-not-reaching-patients-msf-policies-underpinning-deadly-dr-tb-treatment-gap/"
"Diagnostic market analysis: HIV simple/rapid, enzyme immunoassay (EIA) and supplemental tests: available data and implications for future funding","https://marketbookshelf.com/publications/diagnostic-market-analysis-hiv-simplerapid-enzyme-immunoassay-eia-supplemental-tests-available-data-implications-future-funding/"
"Drugs and Vaccines for Developing Countries","https://marketbookshelf.com/publications/drugs-vaccines-developing-countries/"
"Uganda: 2015 ACTwatch Outlet Survey &#8211; Presentation","https://marketbookshelf.com/publications/uganda-2015-actwatch-outlet-survey-presentation/"
"ACTwatch Private-sector Fever Case Management Study Uganda, 2015","https://marketbookshelf.com/publications/actwatch-private-sector-fever-case-management-study-uganda-2015/"
"Life is but a Rich Tapestry of Antimalarials: Myanmar&#8217;s Antimalarial Private Sector Market in 2015","https://marketbookshelf.com/publications/life-rich-tapestry-antimalarials-myanmars-antimalarial-private-sector-market-2015/"
"From Data Black Hole to the Big Bang: Monitoring Anti-malarial markets in the context of Malaria Elimination Management Strategies in Cambodia","https://marketbookshelf.com/publications/data-black-hole-big-bang-monitoring-anti-malarial-markets-context-malaria-elimination-management-strategies-cambodia/"
"Antimalarial Market Intelligence in Cambodia: ACTwatch Findings 2009, 2011, 2013, & 2015","https://marketbookshelf.com/publications/antimalarial-market-intelligence-cambodia-actwatch-findings-2009-2011-2013-2015/"
"ACTwatch Outlet Survey Results: Cambodia 2009-2015","https://marketbookshelf.com/publications/actwatch-outlet-survey-results-cambodia-2009-2015/"
"Cambodia 2009-2015 Outlet Survey Trends &#8211; Presentation","https://marketbookshelf.com/publications/cambodia-2009-2015-outlet-survey-trends-presentation/"
"Cambodia Outlet Survey: Key Findings and Next Steps &#8211; Presentation","https://marketbookshelf.com/publications/cambodia-outlet-survey-key-findings-next-steps-presentation/"
"Private Sector Malaria Case Management in Cambodia: ACTwatch Findings 2015","https://marketbookshelf.com/publications/private-sector-malaria-case-management-cambodia-actwatch-findings-2015/"
"ACTwatch Private-sector Case Management Study: Cambodia 2015","https://marketbookshelf.com/publications/511/"
"Ethiopia 2015 contraceptive commodity and service assessment: Findings from public and private sector outlets","https://marketbookshelf.com/publications/ethiopia-2015-contraceptive-commodity-service-assessment-findings-public-private-sector-outlets/"
"Healthy Markets for Global Health: A Market Shaping Primer","https://marketbookshelf.com/publications/healthy-markets-global-health-market-shaping-primer/"
"Market Shaping for Family Planning: An analysis of current activities and future opportunities to improve the effectiveness of family planning markets","https://marketbookshelf.com/publications/market-shaping-family-planning-analysis-current-activities-future-opportunities-improve-effectiveness-family-planning-markets/"
"Ethiopia FPwatch Overview","https://marketbookshelf.com/publications/ethiopia-fpwatch-overview/"
"Oral artemisinin monotherapy removal from the private sector in Eastern Myanmar between 2012 and 2014","https://marketbookshelf.com/publications/oral-artemisinin-monotherapy-removal-private-sector-eastern-myanmar-2012-2014/"
"Improving Malaria Case Management in the Private Sector: Artemisinin Monotherapy Replacement Project","https://marketbookshelf.com/publications/improving-malaria-case-management-private-sector-artemisinin-monotherapy-replacement-project/"
"Artemisinin Monotherapy Replacement Project: 2012-2015","https://marketbookshelf.com/publications/540/"
"Zambia outlet survey findings: 2009, 2011, 2014","https://marketbookshelf.com/publications/zambia-outlet-survey-findings-2009-2011-2014/"
"Benin outlet survey findings: 2009, 2011, 2014","https://marketbookshelf.com/publications/benin-outlet-survey-findings-2009-2011-2014/"
"Benin: 2014 ACTwatch Outlet Survey Malaria Indicator Survey 2014","https://marketbookshelf.com/publications/benin-2014-actwatch-outlet-survey-malaria-indicator-survey-2014/"
"2013-2014 ORS and Zinc Survey: Results from 9 Countries","https://marketbookshelf.com/publications/2013-2014-ors-zinc-survey-results-9-countries/"
"Tanzania outlet survey findings: 2010, 2011, 2014","https://marketbookshelf.com/publications/tanzania-outlet-survey-findings-2010-2011-2014/"
"Tanzania: ACTwatch Outlet Survey 2014 &#8211; Presentation","https://marketbookshelf.com/publications/tanzania-actwatch-outlet-survey-2014-presentation/"
"Kenya outlet survey findings: 2010, 2011, 2014","https://marketbookshelf.com/publications/kenya-outlet-survey-findings-2010-2011-2014/"
"Kenya: 2014 ACTwatch Outlet Survey &#8211; Presentation","https://marketbookshelf.com/publications/kenya-2014-actwatch-outlet-survey-presentation/"
"Antimalarial Market Intelligence in Cambodia: ACTwatch Findings 2009, 2011, 2013","https://marketbookshelf.com/publications/antimalarial-market-intelligence-cambodia-actwatch-findings-2009-2011-2013/"
"ACTwatch Expansion in the Greater Mekong Sub-Region","https://marketbookshelf.com/publications/actwatch-expansion-greater-mekong-sub-region/"
"Uganda 2013 Outlet Survey Results","https://marketbookshelf.com/publications/uganda-2013-outlet-survey-results/"
"Uganda National Outlet Survey 2013 &#8211; Presentation","https://marketbookshelf.com/publications/uganda-national-outlet-survey-2013-presentation/"
"Nigeria 2013 Outlet Survey Results","https://marketbookshelf.com/publications/nigeria-2013-outlet-survey-results/"
"Cambodia 2013 Outlet Survey Results","https://marketbookshelf.com/publications/cambodia-2013-outlet-survey-results/"
"Nigeria National Outlet Survey 2013 &#8211; Presentation","https://marketbookshelf.com/publications/nigeria-national-outlet-survey-2013-presentation/"
"Providing Malaria Market Evidence Through the ACTwatch Project","https://marketbookshelf.com/publications/providing-malaria-market-evidence-actwatch-project/"
"The potential to test and treat malaria in Nigeria: Results from national outlet surveys (2009-2013)","https://marketbookshelf.com/publications/potential-test-treat-malaria-nigeria-results-national-outlet-surveys-2009-2013/"
"Trends in antimalarial medicine and malaria diagnostic availability in Cambodia between 2009 and 2013","https://marketbookshelf.com/publications/trends-antimalarial-medicine-malaria-diagnostic-availability-cambodia-2009-2013/"
"Oral Artemisinin Monotherapy (oral AMT) Products found in 2013 ACTwatch Outlet Surveys","https://marketbookshelf.com/publications/oral-artemisinin-monotherapy-oral-amt-products-found-2013-actwatch-outlet-surveys/"
"Understanding Private Sector Antimalarial Distribution Chains: A Cross-Sectional Mixed Methods Study in Six Malaria-Endemic Countries","https://marketbookshelf.com/publications/understanding-private-sector-antimalarial-distribution-chains-cross-sectional-mixed-methods-study-six-malaria-endemic-countries/"
"Tracking changes in Myanmar&#8217;s antimalarial market in the context of drug resistance containment","https://marketbookshelf.com/publications/tracking-changes-myanmars-antimalarial-market-context-drug-resistance-containment/"
"Monitoring supply and demand for antimalarials and RDTs: an update on ACTwatch","https://marketbookshelf.com/publications/monitoring-supply-demand-antimalarials-rdts-update-actwatch/"
"Comparative analysis of two methods for measuring sales volumes during malaria medicine outlet surveys","https://marketbookshelf.com/publications/comparative-analysis-two-methods-measuring-sales-volumes-malaria-medicine-outlet-surveys/"
"Treatment seeking for fever: Uganda, Nigeria, Madagascar","https://marketbookshelf.com/publications/treatment-seeking-fever-uganda-nigeria-madagascar/"
"Availability, Volumes, Price and Use of Antimalarials in Zambia: Outlet Survey 2008, Household Survey 2009","https://marketbookshelf.com/publications/availability-volumes-price-use-antimalarials-zambia-outlet-survey-2008-household-survey-2009/"
"Methods for implementing a medicine outlet survey: lessons from the anti-malarial market","https://marketbookshelf.com/publications/methods-implementing-medicine-outlet-survey-lessons-anti-malarial-market/"
"A Qualitative Assessment of the Private Sector Antimalarial Distribution Chain in the Democratic Republic of Congo","https://marketbookshelf.com/publications/qualitative-assessment-private-sector-antimalarial-distribution-chain-democratic-republic-congo/"
"Antimalarial drugs and diagnostic testing in the era of subsidies: multi-country findings","https://marketbookshelf.com/publications/antimalarial-drugs-diagnostic-testing-era-subsidies-multi-country-findings/"
"A Qualitative Assessment of the Private Sector Antimalarial Distribution Chain in Uganda, 2009","https://marketbookshelf.com/publications/qualitative-assessment-private-sector-antimalarial-distribution-chain-uganda-2009/"
"A Qualitative Assessment of the Private Sector Antimalarial Distribution Chain in Nigeria, 2009","https://marketbookshelf.com/publications/qualitative-assessment-private-sector-antimalarial-distribution-chain-nigeria-2009/"
"Outlet Survey Republic of Madagascar 2011 Survey Report","https://marketbookshelf.com/publications/outlet-survey-republic-madagascar-2011-survey-report/"
"Outlet Survey Republic of Uganda 2011 Survey Report","https://marketbookshelf.com/publications/outlet-survey-republic-uganda-2011-survey-report/"
"Benin Private Health Sector Census","https://marketbookshelf.com/publications/benin-private-health-sector-census/"
"Census of Private Health Facilities in Nigeria","https://marketbookshelf.com/publications/census-private-health-facilities-nigeria/"
"Antimalarial Markets in 9 Malaria Endemic Countries World Bank","https://marketbookshelf.com/publications/antimalarial-markets-9-malaria-endemic-countries-world-bank/"
"Health Seeking Behavior and Use of Antimalarials and RDTs in 6 Malaria Endemic Countries","https://marketbookshelf.com/publications/health-seeking-behavior-use-antimalarials-rdts-6-malaria-endemic-countries/"
"Mapping the private commercial sector distribution chain for antimalarials in six low-income countries in Africa and South-East Asia","https://marketbookshelf.com/publications/mapping-private-commercial-sector-distribution-chain-antimalarials-six-low-income-countries-africa-south-east-asia/"
"A Census of Private Health Facilities and Providers in Malawi","https://marketbookshelf.com/publications/census-private-health-facilities-providers-malawi/"
"Malawi Private Health Sector Mapping Report","https://marketbookshelf.com/publications/malawi-private-health-sector-mapping-report/"
"Total Market Success: The Paraguay Story","https://marketbookshelf.com/publications/total-market-success-paraguay-story/"
"Country Commodity Manager, Manual to Accompany A Computer Program for Management and Forecasting of Reproductive Health Commodity Needs","https://marketbookshelf.com/publications/country-commodity-manager-manual-accompany-computer-program-management-forecasting-reproductive-health-commodity-needs/"
"Synthesis Report: UNFPA Global Programme to Enhance Reproductive Health Commodity Security Mid-Term Review Final draft (version 2)","https://marketbookshelf.com/publications/synthesis-report-unfpa-global-programme-enhance-reproductive-health-commodity-security-mid-term-review-final-draft-version-2/"
"Planning Guide for a Total Market Approach to Increase Access to Family Planning Module 1: Landscape Assessment","https://marketbookshelf.com/publications/planning-guide-total-market-approach-increase-access-family-planning-module-1-landscape-assessment/"
"Outlet Survey Nigeria 2011 Survey Report","https://marketbookshelf.com/publications/outlet-survey-nigeria-2011-survey-report/"
"Monitoring fever treatment behavior and equitable access to effective medicines in the context of initiatives to improve ACT access: baseline results and implications for programming in six African countries","https://marketbookshelf.com/publications/monitoring-fever-treatment-behavior-equitable-access-effective-medicines-context-initiatives-improve-act-access-baseline-results-implications-programming-six-african-co/"
"Outlet Survey Kingdom of Cambodia 2011 Survey Report","https://marketbookshelf.com/publications/outlet-survey-kingdom-cambodia-2011-survey-report/"
